郑允浩	441
金宥真	441
佐藤健	439
罗海灵	439
郭品超	438
张蔷	435
迪克牛仔	435
姜育恒	434
红孩儿	433
后街男孩	432
高峰	428
天海佑希	427
陈淑桦	426
余枫	425
刘玉玲	425
杨盼盼	425
维塔斯	422
宋再临	418
李瑞镇	417
凤飞飞	416
朴秀珍	416
柯受良	416
邓萃雯	416
郭蔼明	416
连晨翔	415
钟镇涛	415
江明洋	414
中岛美嘉	413
屠洪刚	412
柯以敏	412
裴珠泫	410
杨蕊	409
王铮亮	409
闵玧其	409
满文军	408
戴萌	407
大岛优子	406
大島優子	406
陈星	406
布兰妮·斯皮尔斯	405
谢金燕	405
权振东	403
肖战	403
苗驰	402
金荷娜	402
刘忻	401
曺圭贤	400
母丹	398
泰勒·洛特纳	398
蓝心湄	398
指原莉乃	397
高枫	397
孙佳仁	396
赵卓娜	396
李翊君	395
刘宝瑞	394
吴夏荣	393
在熙	393
方力申	391
李东旭	391
木村佳乃	390
胡海泉	390
沙宝亮	386
阿朵	386
尹晶喜	385
高原红	385
官晶华	384
南宫民	381
黄英	381
凯特·贝金赛尔	379
林时完	377
戚美珍	374
陈明真	374
李宗泫	372
李尚禹	371
二宫和也	370
莉莉·柯林斯	369
林保怡	368
黄耀明	368
宇多田光	367
朴草娥	367
亚历山大·斯卡斯加德	366
生田斗真	366
田丽	366
刘恩佑	363
黄志玮	363
严艺丹	360
王灿	360
齐豫	360
玄子	359
丁薇	358
林思意	358
朱相昱	357
周鹏	356
池贤宇	356
篠田麻里子	356
郑俊英	356
马国明	353
文晸赫	352
户田惠梨香	351
本乡奏多	351
马少骅	350
黄立行	350
车胜元	348
孔舒航	346
张悬	346
李民基	345
张德兰	342
陶大宇	342
吴承轩	340
赵文瑄	340
韩惠淑	340
李准	339
松岛菜菜子	338
邱心志	338
曾艳芬	337
金宣儿	337
萧潇	336
阿黛尔·阿德金斯	336
费雯丽	335
金润吉	335
李威	331
金贤珠	330
俞小凡	328
沈昌珉	327
陈信宏	327
堀北真希	325
张力尹	325
林嘉欣	325
安昭熙	324
梁君诺	323
薇诺娜	323
满江	322
汪睿	320
金南珠	320
刘逸云	319
凯瑟琳·赫本	318
南太铉	318
李泰林	318
黄子佼	318
黑龙	318
何超仪	317
李洙赫	316
陆昱霖	316
段林希	313
臧天朔	313
韩晓	313
倪睿思	312
方逸伦	311
蒋怡	311
马龙·白兰度	311
潘美辰	310
戴娆	308
芦芳生	308
谢容儿	308
于湉	307
苏妙玲	307
凯拉·奈特莉	306
林静	306
林凡	304
谭耀文	304
千叶雄大	303
丽芙·泰勒	301
冯德伦	300
刘洲成	298
朴善怜	298
朴素妍	298
邵兵	298
刘承俊	297
李沇熹	297
